"_ID","LIEU_DISTRIBUTION","TYPE_LIEU","NUMERO","ADRESSE","QUARTIER","QUARTIER_CIBLE","TYPE_DISTRIBUTION","RDV1","HDEBUT1","HFIN1","RDV2","HDEBUT2","HFIN2","RDV3","HDEBUT3","HFIN3","RDV4","HDEBUT4","HFIN4","OBSERVATIONS","CODE_POSTAL","COMMUNE","location"
"53","Face au 22 Boulevard Professeur René Auvigné","","22","Boulevard Professeur René Auvigné","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","RDV","04/03/2015","14:30","19:00","24/06/2015","14:30","19:00","18/11/2015","14:30","19:00","","","","","44300","Nantes","[ 47.2545247830002 , -1.51799911755854]"
"54","Place du Commandant Cousteau","","","Place du Commandant Cousteau","Doulon - Bottière","Erdre/Bottière/Ranzay/Perray","RDV","05/03/2015","14:30","19:00","25/06/2015","14:30","19:00","19/11/2015","14:30","19:00","","","","","44300","Nantes","[ 47.2401034784519 , -1.51309028430617]"
"55","3 Rue de la Planche au Gué","","3","Rue de la Planche au Gué","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","RDV","06/03/2015","14:30","19:00","26/06/2015","14:30","19:00","20/11/2015","14:30","19:00","","","","","44300","Nantes","[ 47.2689928765624 , -1.52190435780587]"
"56","9 Rue Frédéric Mistral","","9","Rue Frédéric Mistral","Doulon - Bottière","Erdre/Bottière/Ranzay/Perray","RDV","07/03/2015","09:00","13:00","27/06/2015","09:00","13:00","21/11/2015","09:00","13:00","","","","","44300","Nantes","[ 47.2461633226959 , -1.51319004085688]"
"51","Mairie Annexe Bottière","Mairie annexe","69","Rue de la Bottière","Doulon - Bottière","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2399228283493 , -1.51902266594607]"
"46","Pôle de Proximité Erdre et Loire","Pôle de proximité","2","Rue Edouard Nignon","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2754117135983 , -1.51029315941679]"
"47","Mairie Annexe Ranzay","Mairie annexe","249","Route de Saint Joseph","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2537942509792 , -1.53042232617088]"
"48","Intermarché Eraudière","Commerce","173","Route de Saint Joseph","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2448582942442 , -1.53349934743558]"
"49","Mairie Annexe Doulon","Mairie annexe","37","Boulevard Louis Millet","Doulon - Bottière","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2271572218589 , -1.51875867919863]"
"50","Boulangerie Gergaud","Commerce","26","Boulevard Professeur René Auvigné","Nantes Erdre","Erdre/Bottière/Ranzay/Perray","PDIS","","","","","","","","","","","","","","44300","Nantes","[ 47.2550070477686 , -1.51770954842734]"
"92","Pôle commercial Boulevard de Sarrebruck","","","Boulevard de Sarrebruck","Malakoff - Saint-Donatien","Malakoff/Nantes Sud","RDV","05/01/2015","14:30","19:00","07/04/2015","14:30","19:00","21/09/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2140541748747 , -1.52755394590332]"
"89","Gare routière Pirmil","","","Rue Esnoult des Châtelets","Nantes Sud","Malakoff/Nantes Sud","RDV","07/01/2015","14:30","19:00","08/04/2015","14:30","19:00","23/09/2015","14:30","19:00","","","","","44200","Nantes","[ 47.1965881376402 , -1.54172925456256]"
"90","Piscine Petite Amazonie","","15","Rue du Pont de l'Arche de Mauves","Malakoff - Saint-Donatien","Malakoff/Nantes Sud","RDV","09/01/2015","14:30","19:00","10/04/2015","14:30","19:00","25/09/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2162745514945 , -1.53235917330598]"
"91","Place du Muguet Nantais","","","Place du Muguet Nantais","Nantes Sud","Malakoff/Nantes Sud","RDV","10/01/2015","09:00","13:00","11/04/2015","09:00","13:00","26/09/2015","09:00","13:00","","","","","44200","Nantes","[ 47.1943572452049 , -1.52879967553758]"
"88","Mairie Annexe Malakoff","Mairie annexe","5","Boulevard de Berlin","Malakoff - Saint-Donatien","Malakoff/Nantes Sud","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.214797092378 , -1.53044715448205]"
"84","Nantes Habitat Agence Angleterre","Organisme HLM","3","Boulevard de Berlin","Malakoff - Saint-Donatien","Malakoff/Nantes Sud","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2148979290296 , -1.53067100557785]"
"85","Nantes Habitat Agence Goudy","Organisme HLM","8","Rue Gabriel Goudy","Nantes Sud","Malakoff/Nantes Sud","PDIS","","","","","","","","","","","","","","44200","Nantes","[ 47.1954039867101 , -1.54125589789751]"
"86","Mairie Annexe Nantes Sud","Mairie annexe","69","Boulevard Joliot Curie","Nantes Sud","Malakoff/Nantes Sud","PDIS","","","","","","","","","","","","","","44200","Nantes","[ 47.1940947349268 , -1.53161011139837]"
"87","Super U Saint Jacques","Commerce","75","Boulevard Joliot Curie","Nantes Sud","Malakoff/Nantes Sud","PDIS","","","","","","","","","","","","","","44200","Nantes","[ 47.1938030862539 , -1.53073825436247]"
"121","Rue Gaston Turpin/ Rue Gambetta","","","Place Sophie Trébuchet","Malakoff - Saint-Donatien","Saint-Donatien","RDV","02/02/2015","14:30","19:00","08/06/2015","14:30","19:00","02/11/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2205801969752 , -1.54550678204049]"
"117","Rue Pitre Chevalier/Allée de la Reine Margot","","","Rue Pitre Chevalier","Malakoff - Saint-Donatien","Saint-Donatien","RDV","04/02/2015","14:30","19:00","10/06/2015","14:30","19:00","04/11/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2237506960654 , -1.55069595102173]"
"118","Boulevard Ernest Dalby -  parking Super U","","66","Boulevard Ernest Dalby","Malakoff - Saint-Donatien","Saint-Donatien","RDV","05/02/2015","14:30","19:00","11/06/2015","14:30","19:00","05/11/2015","14:30","19:00","","","","","44000","Nantes","[ 47.2241475694462 , -1.5304882397471]"
"119","Rue des Roches Grises (Eglise Saint-Augustin)","","","Rue des Roches Grises","Nantes Erdre","Saint-Donatien","RDV","06/02/2015","14:30","19:00","12/06/2015","14:30","19:00","06/11/2015","14:30","19:00","","","","","44300","Nantes","[ 47.238645194009 , -1.54504959881403]"
"120","Place des enfants nantais","","","Place des Enfants Nantais","Malakoff - Saint-Donatien","Saint-Donatien","RDV","07/02/2015","09:00","13:00","13/06/2015","09:00","13:00","07/11/2015","09:00","13:00","","","","","44000","Nantes","[ 47.2287750306491 , -1.54288080522534]"
"116","Pôle Municipal Strasbourg, Manufacture des tabacs","Service municipal","11","Boulevard de Stalingrad","Malakoff - Saint-Donatien","Saint-Donatien","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.219327316701 , -1.53597100189593]"
"110","Casino","Commerce","103","Rue Général Buat","Malakoff - Saint-Donatien","Saint-Donatien","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2269310946374 , -1.54266531264632]"
"111","Carrefour Contact","Commerce","1","Boulevard des Professeurs Sourdille","Malakoff - Saint-Donatien","Saint-Donatien","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2350815675807 , -1.54727264614668]"
"112","Super U","Commerce","66","Boulevard Ernest Dalby","Malakoff - Saint-Donatien","Saint-Donatien","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2237968372807 , -1.53051590692239]"
"113","Intermarché","Commerce","20","Rue Pitre Chevalier","Malakoff - Saint-Donatien","Saint-Donatien","PDIS","","","","","","","","","","","","","","44000","Nantes","[ 47.2240146408693 , -1.5507635966278]"
