Identifiant;Equipement;Période;Date de début;Date de fin;Jour de la semaine;Date de l'exception;Heure de début;Heure de fin;Type d'horaire
1014;Ecopoint Dervallières;ANNEE 2017;;;;2017-04-17;;;Fermeture
1014;Ecopoint Dervallières;ANNEE 2017;;;;2017-06-05;;;Fermeture
1013;Ecopoint La Beaujoire;ANNEE 2017;;;;2017-01-01;;;Fermeture
1013;Ecopoint La Beaujoire;ANNEE 2017;;;;2017-07-14;;;Fermeture
1013;Ecopoint La Beaujoire;ANNEE 2017;;;;2017-08-15;;;Fermeture
1015;Ecopoint Auvours;ANNEE 2017;;;;2017-04-17;;;Fermeture
1015;Ecopoint Auvours;ANNEE 2017;;;;2017-05-08;;;Fermeture
1015;Ecopoint Auvours;ANNEE 2017;;;;2017-08-15;;;Fermeture
3143;Déchèterie d'Orvault;ANNEE 2017;2017-01-01;2017-12-31;lundi;;10:00;17:45;Ouverture
3143;Déchèterie d'Orvault;ANNEE 2017;2017-01-01;2017-12-31;jeudi;;10:00;17:45;Ouverture
3139;Déchèterie de Carquefou;ANNEE 2017;2017-01-01;2017-12-31;mercredi;;10:00;17:45;Ouverture
3142;Déchèterie de La Montagne;ANNEE 2017;2017-01-01;2017-12-31;lundi;;10:00;17:45;Ouverture
3142;Déchèterie de La Montagne;ANNEE 2017;2017-01-01;2017-12-31;samedi;;10:00;17:45;Ouverture
3148;Déchèterie de Mauves sur Loire;ANNEE 2017;2017-01-01;2017-12-31;lundi;;10:00;17:45;Ouverture
3148;Déchèterie de Mauves sur Loire;ANNEE 2017;2017-01-01;2017-12-31;jeudi;;10:00;17:45;Ouverture
3145;Déchèterie de Rezé;ANNEE 2017;2017-01-01;2017-12-31;mardi;;10:00;17:45;Ouverture
3145;Déchèterie de Rezé;ANNEE 2017;2017-01-01;2017-12-31;dimanche;;10:00;17:45;Ouverture
3144;Déchèterie de Saint Aignan Grand Lieu;ANNEE 2017;2017-01-01;2017-12-31;mercredi;;10:00;17:45;Ouverture
2220;Déchèterie de Saint Herblain;ANNEE 2017;2017-01-01;2017-12-31;lundi;;10:00;17:45;Ouverture
2220;Déchèterie de Saint Herblain;ANNEE 2017;2017-01-01;2017-12-31;samedi;;10:00;17:45;Ouverture
