"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","MODE_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"7236","Rue René Guy Cadou","NANTES","Cadou","PUBLIQUE","NANTES Rue des Renards","NANTES Rue Stendhal","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"1934","Allée Claude Cahun","NANTES","Cahun","PRIVEE","NANTES Rue Etienne Coutan","NANTES Rue Romain Rolland","bacs bleus et bacs jaunes","bacs","pluriel","le numéro 1","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"1934","Allée Claude Cahun","NANTES","Cahun","PRIVEE","NANTES Rue Etienne Coutan","NANTES Rue Romain Rolland","TRI'SAC","bacs","pluriel","tous les numéros sauf le numéro 1","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"1336","Avenue Caillé","NANTES","Caillé","PRIVEE","NANTES Rue Général Buat","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"0848","Avenue Marie Biton Caillé","NANTES","Caillé","PRIVEE","NANTES Rue de Coulmiers","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"1692","Rue Charles Caillé","NANTES","Caillé","PUBLIQUE","NANTES Boulevard des Tribunes","NANTES Avenue de la Pepinière","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"4568","Rue Joseph Caillé","NANTES","Caillé","PUBLIQUE","NANTES Place Viarme","NANTES Place Edouard Normand","TRI'SAC","bacs","unique","","mardi et vendredi","","","Hauts Pavés - Saint Félix",""
"1342","Rue de la Caillette","NANTES","Caillette","PUBLIQUE","NANTES Rue Maisdon Pajot","NANTES Boulevard de la Fraternité","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Dervallières - Zola",""
"3344","Rue Frédéric Cailliaud","NANTES","Cailliaud","PUBLIQUE","NANTES Boulevard de Stalingrad","NANTES Rue Gambetta","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"1344","Impasse Calcaud","NANTES","Calcaud","PRIVEE","NANTES Rue Félix Lemoine","Impasse","TRI'SAC","bacs","unique","","mardi et vendredi","","","Nantes Erdre",""
"1348","Rue de la Cale Crucy","NANTES","Cale","PUBLIQUE","NANTES Rue Bougainville","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
