"RIVOLI","LIBELLE","COMMUNE","MOT_DIRECTEUR","STATUT","TENANT","ABOUTISSANT","PRESTATION_COLLECTE","MODE_COLLECTE","TYPE_COLLECTE","OBS_PRESTATION_COLLECTE","BLEU_JOUR_COLLECTE","JAUNE_JOUR_COLLECTE","OBS_JOUR_COLLECTE","QUARTIER","OBS_QUARTIER"
"1141","Place du Bourg","NANTES","Bourg","PUBLIQUE","NANTES Rue des Réformes","NANTES Rue de Trémeac","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"1148","Rue de la Bourgeonnière","NANTES","Bourgeonnière","PUBLIQUE","NANTES Route de la Jonelière","NANTES Rue Jean Poulain","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"1152","Rue du Bourget","NANTES","Bourget","PUBLIQUE","NANTES Rue de Miséricorde","NANTES Rue du Poitou","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"1156","Rue du Bourgneuf","NANTES","Bourgneuf","PUBLIQUE","NANTES Rue Le Nôtre","NANTES Ruelle des Tanneurs","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1160","Avenue de Bourgogne","NANTES","Bourgogne","PRIVEE","NANTES Avenue de Normandie","NANTES Rue des Pays de la Loire","TRI'SAC","bacs","unique","","mardi et vendredi","","","Nantes Erdre",""
"1167","Allée de la Bourse","NANTES","Bourse","PUBLIQUE","NANTES Rue Jean Jacques Rousseau","NANTES Allée Brancas","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1168","Place de la Bourse","NANTES","Bourse","PUBLIQUE","NANTES Rue de la Fosse","NANTES Rue Jean Jacques Rousseau","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"2168","Rue Corentin Bourveau","NANTES","Bourveau","PUBLIQUE","NANTES Rue Parmentier","NANTES Rue des Epinettes","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"1173","Allée de la Bouscarle de Cetti","NANTES","Bouscarle","Inconnu","NANTES Rue Marcel Paul","NANTES Place du Bihoreau Gris","TRI'SAC","bacs","unique","","mardi et vendredi","","","Malakoff - Saint-Donatien",""
"0013","Rue Abbé Boutet","NANTES","Boutet","PUBLIQUE","NANTES Rue de l'Echappée","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"1180","Impasse Boutillier","NANTES","Boutillier","PRIVEE","NANTES Quai de Versailles","Impasse","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"2028","Rue Colonel Boutin","NANTES","Boutin","PUBLIQUE","NANTES Rue Préfet Bonnefoy","NANTES Rue Pitre Chevalier","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"0367","Avenue Armand Bouvier","NANTES","Bouvier","PRIVEE","NANTES Rue du Coudray","NANTES Chemin des Violettes","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"1182","Allée des Bouvreuils","NANTES","Bouvreuils","PRIVEE","NANTES Rue Auguste Ménoret","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"6957","Avenue Président Joseph Bouyer","NANTES","Bouyer","PRIVEE","NANTES Rue du Chêne Vert","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Breil - Barberie",""
"5072","Rue Louis Braille","NANTES","Braille","PUBLIQUE","NANTES Rue Frère Louis","NANTES Rue Ledru Rollin","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Nantes Sud",""
"1184","Allée Brancas","NANTES","Brancas","PUBLIQUE","NANTES Allée Cassard","NANTES Allée de la Bourse","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"8119","Allée Titus Brandsma","NANTES","Brandsma","Inconnu","NANTES Rue du Pré-Salé","","TRI'SAC","bacs","unique","","mardi et vendredi","","","Ile de Nantes",""
"1189","Rue Branly","NANTES","Branly","PUBLIQUE","NANTES Place Armand Fallières","NANTES Rue Docteur Rappin","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Hauts Pavés - Saint Félix",""
"3656","Avenue Georges Brassens","NANTES","Brassens","PRIVEE","NANTES Rue du Moulin Neuf","NANTES Avenue Jacques Brel","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"1200","Rue de la Brasserie","NANTES","Brasserie","PUBLIQUE","NANTES Place René Bouhier","NANTES Rue Daubenton","TRI'SAC","bacs","unique","","lundi et jeudi","","","Dervallières - Zola",""
"0252","Rue Anatole le Braz","NANTES","Braz","PUBLIQUE","NANTES Rue Paul Bellamy","NANTES Rue Villebois Mareuil","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"1204","Rue de Bréa","NANTES","Bréa","PUBLIQUE","NANTES Rue des Cadeniers","NANTES Rue Flandres Dunkerque 40","TRI'SAC","bacs","unique","","mardi et vendredi","","","Centre Ville",""
"4616","Rue Jules Bréchoir","NANTES","Bréchoir","PUBLIQUE","NANTES Place Victor Basch","NANTES Boulevard de Doulon","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Malakoff - Saint-Donatien",""
"0124","Avenue Alfred Brédéloux","NANTES","Brédéloux","PRIVEE","NANTES Rue Léon Jost","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Breil - Barberie",""
"1205","Chemin de la Bregeonnière","NANTES","Bregeonnière","PUBLIQUE","NANTES Chemin de la Guiblinière","","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"1208","Rue de la Bregeonnière","NANTES","Bregeonnière","PUBLIQUE","NANTES Chemin de la Boisbonnière","NANTES Chemin de la Guiblinière","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"1213","Rue du Breil","NANTES","Breil","PUBLIQUE","NANTES Boulevard des Anglais","NANTES Rue des Plantes","TRI'SAC","bacs","pluriel","tous les numéros sauf des numéros 51 à 57","lundi et jeudi","","","Breil - Barberie",""
"1213","Rue du Breil","NANTES","Breil","PUBLIQUE","NANTES Boulevard des Anglais","NANTES Rue des Plantes","TRI'SAC","colonnes","pluriel","uniquement les numéros 51 à 57","","","","Breil - Barberie",""
"5640","Rue Michel le Lou du Breil","NANTES","Breil","PUBLIQUE","NANTES Quai de la Fosse","NANTES Rue de la Brasserie","TRI'SAC","bacs","unique","","lundi et jeudi","","","Dervallières - Zola",""
"4299","Avenue Jacques Brel","NANTES","Brel","PRIVEE","NANTES Avenue Georges Brassens","NANTES Avenue Jean Gabin","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Doulon - Bottière",""
"1253","Avenue de Bressaut","NANTES","Bressaut","PRIVEE","NANTES Chemin de l'Eraudière","NANTES Rue du Château de l'Eraudière","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Nantes Erdre",""
"1215","Rue de Brest","NANTES","Brest","PUBLIQUE","NANTES Rue de Pont Aven","NANTES Rue de Questembert","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"1216","Place de Bretagne","NANTES","Bretagne","PUBLIQUE","NANTES Rue Léopold Cassegrain","NANTES Rue Mercoeur","TRI'SAC","bacs","unique","","mardi et vendredi","","","Centre Ville",""
"6333","Avenue Père Bretaudeau","NANTES","Bretaudeau","PUBLIQUE","ORVAULT Route de Rennes","NANTES Rue Louis Fortun","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"6424","Avenue Petit Breton","NANTES","Breton","PRIVEE","NANTES Rue Maurice Garin","","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Dervallières - Zola",""
"0271","Mail André Breton","NANTES","Breton","PRIVEE","","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"1220","Chemin Bretonnelle","NANTES","Bretonnelle","PUBLIQUE","NANTES Rue des Alouettes","NANTES Rue de l'Etang","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"1224","Chemin de la Bretonnière","NANTES","Bretonnière","PUBLIQUE","NANTES Route de Saint Joseph","","TRI'SAC","bacs","unique","","mardi","","","Nantes Erdre",""
"1228","Impasse Bretonnière","NANTES","Bretonnière","PRIVEE","NANTES Rue de la Contrie","Impasse","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Dervallières - Zola",""
"7542","Rue de Saint Brévin","NANTES","Brévin","PUBLIQUE","NANTES Rue des Bourderies","NANTES Impasse Gadebois","TRI'SAC","bacs","unique","","mardi et vendredi","","","Bellevue - Chantenay - Sainte Anne",""
"5210","Impasse du Maillé Brézé","NANTES","Brézé","PRIVEE","NANTES Rue Firmin Colas","Impasse","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"0360","Place Aristide Briand","NANTES","Briand","PUBLIQUE","","","TRI'SAC","bacs","pluriel","le numero 5","mardi et vendredi","","","Centre Ville",""
"0360","Place Aristide Briand","NANTES","Briand","PUBLIQUE","","","TRI'SAC","bacs","pluriel","","lundi - mercredi - vendredi","","","Centre Ville",""
"1232","Chemin de la Brianderie","NANTES","Brianderie","PUBLIQUE","NANTES Rue de la Brianderie","NANTES Rue Gutenberg","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"1240","Rue de la Brianderie","NANTES","Brianderie","PUBLIQUE","NANTES Rue Fontaine des Baronnies","NANTES Rue Gutenberg","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"1248","Impasse Brillouet","NANTES","Brillouet","PRIVEE","NANTES Rue de Coulmiers","Impasse","TRI'SAC","bacs","unique","","lundi et jeudi","","","Malakoff - Saint-Donatien",""
"2496","Rue Docteur Brindeau","NANTES","Brindeau","PUBLIQUE","NANTES Rue de la Bastille","NANTES Rue Félibien","TRI'SAC","bacs","unique","","mardi et vendredi","","","Hauts Pavés - Saint Félix",""
"1256","Rue de Briord","NANTES","Briord","PUBLIQUE","NANTES Place du Pilori","NANTES Place Saint Vincent","TRI'SAC","bacs","unique","","lundi - mercredi - vendredi","","","Centre Ville",""
"1257","Impasse des Briotins","NANTES","Briotins","PRIVEE","NANTES Rue de Gesvres","Impasse","TRI'SAC","bacs","unique","","lundi et jeudi","","","Nantes Nord",""
"1258","Allée de la Brise","NANTES","Brise","PRIVEE","NANTES Avenue du Suroit","NANTES Avenue de Noroit","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"5073","Rue Louis Brisset","NANTES","Brisset","PUBLIQUE","NANTES Rue Commandant Henri Viot","","TRI'SAC","bacs","unique","","lundi et jeudi","","","Breil - Barberie",""
"5492","Rue Mathurin Brissonneau","NANTES","Brissonneau","PUBLIQUE","NANTES Quai de la Fosse","NANTES Rue de la Brasserie","TRI'SAC","bacs","unique","","lundi et jeudi","","","Dervallières - Zola",""
"4321","Rue Jacques-Pierre Brissot","NANTES","Brissot","PRIVEE","NANTES Rue de l'Ile Botty","NANTES Rue Victor Schoelcher","bacs bleus et bacs jaunes","bacs","unique","","vendredi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"2192","Rue Costes et Le Brix","NANTES","Brix","PUBLIQUE","NANTES Rue Paul Bellamy","NANTES Rue Casimir Perier","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"0444","Rue Auguste Brizeux","NANTES","Brizeux","PUBLIQUE","NANTES Rue de Bel Air","NANTES Rue Frédureau","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"6556","Rue Philippe de Broca","NANTES","Broca","PUBLIQUE","NANTES Avenue de Lusancay","NANTES Rue Fontaine des Baronnies","TRI'SAC","bacs","unique","","lundi et jeudi","","","Bellevue - Chantenay - Sainte Anne",""
"A053","Cour de la Brocante","NANTES","Brocante","PRIVEE","NANTES Rue des Hauts Pavés","NANTES Rue du Poitou","TRI'SAC","bacs","unique","","lundi et jeudi","","","Hauts Pavés - Saint Félix",""
"1259","Avenue de Broceliande","NANTES","Broceliande","Inconnu","NANTES Avenue des Korrigans","NANTES Rue du Haut Launay","bacs bleus et bacs jaunes","bacs","unique","","mardi","mercredi","","Nantes Erdre",""
"1260","Impasse Brochard","NANTES","Brochard","PRIVEE","NANTES Rue des Pavillons","Impasse","bacs bleus et bacs jaunes","bacs","unique","","jeudi","mercredi","","Bellevue - Chantenay - Sainte Anne",""
"5078","Avenue Louis De Broglie","NANTES","Broglie","PRIVEE","NANTES Boulevard Albert Einstein","","bacs bleus","bacs","unique","Pas de collecte sélective en porte à porte","","","","Nantes Nord",""
