"ID_COLONNE","TYPE_DECHETS","VOLUME","OBS","PREHENSION","VOIE","MOT_DIRECTEUR","CODE_COM","CODE_POSTAL","COMMUNE","QUARTIER","POLE_NM","location"
"769","verre","3.0",""," ","Rue Henri Mainguet","Mainguet","440190","44230","St-Sébastien-sur-Loire","","Loire, Sèvre et Vignoble","[ 47.2050249899555 , -1.50444277821446]"
"770","verre","3.0",""," ","Rue de Bretagne","Bretagne","440190","44230","St-Sébastien-sur-Loire","","Loire, Sèvre et Vignoble","[ 47.1995706856427 , -1.49997881651833]"
"771","verre","3.0",""," ","Rue du Général De Gaulle","Gaulle","440190","44230","St-Sébastien-sur-Loire","","Loire, Sèvre et Vignoble","[ 47.2080729646381 , -1.49210415318157]"
"772","verre","4.5",""," ","Rue Louis Pasteur","Pasteur","440190","44230","St-Sébastien-sur-Loire","","Loire, Sèvre et Vignoble","[ 47.2065398884722 , -1.48643906084673]"
"773","verre","4.5","centre commercial la fontaine"," ","Rue de Beaugency","Beaugency","440190","44230","St-Sébastien-sur-Loire","","Loire, Sèvre et Vignoble","[ 47.2037302372582 , -1.49141048097265]"
"774","verre","4.0",""," ","Rue Auguste Garnier","Garnier","440215","44120","Vertou","Le Chêne et les Landes","Loire, Sèvre et Vignoble","[ 47.1595099855531 , -1.48177399277884]"
"775","verre","4.0","LIEU-DIT LA BARIGAUDAIS"," ","VC 10","10","440215","44120","Vertou","Le Chêne et les Landes","Loire, Sèvre et Vignoble","[ 47.1505040531445 , -1.49031644660174]"
"776","verre","4.0","parc du Lory"," ","Boulevard Guichet Sérex","Sérex","440215","44120","Vertou","Portillon - La grande Noë","Loire, Sèvre et Vignoble","[ 47.1643719860462 , -1.47944267168105]"
"777","verre","4.0",""," ","Impasse de la Vallée","Vallée","440215","44120","Vertou","Le Chêne et les Landes","Loire, Sèvre et Vignoble","[ 47.1655409579391 , -1.48626027759526]"
"778","verre","4.0",""," ","Rue des Rédras","Rédras","440215","44120","Vertou","Les Coteaux de Sèvre","Loire, Sèvre et Vignoble","[ 47.1634326743085 , -1.50329382111268]"
"779","verre","4.0",""," ","Rue de la Chintière","Chintière","440215","44120","Vertou","Le Chêne et les Landes","Loire, Sèvre et Vignoble","[ 47.1649678815791 , -1.49651673015996]"
"780","verre","4.0",""," ","Chemin des Perdriaux","Perdriaux","440215","44120","Vertou","Le Chêne et les Landes","Loire, Sèvre et Vignoble","[ 47.1630575461272 , -1.4889243042086]"
"781","verre","4.0",""," ","Rue de la Petite Bourrelière","Petite","440215","44120","Vertou","Le Chêne et les Landes","Loire, Sèvre et Vignoble","[ 47.1578142889205 , -1.49994565148424]"
"782","verre","4.0",""," ","Rue des Calvilles","Calvilles","440215","44120","Vertou","Les Coteaux de Sèvre","Loire, Sèvre et Vignoble","[ 47.1637015496813 , -1.50572023192027]"
"783","verre","4.0",""," ","Rue des Ajoncs","Ajoncs","440215","44120","Vertou","Les Coteaux de Sèvre","Loire, Sèvre et Vignoble","[ 47.1743352117155 , -1.51933094665657]"
"784","verre","4.0",""," ","Route du Mortier Vannerie","Mortier","440215","44120","Vertou","Clouzeaux - Planty","Loire, Sèvre et Vignoble","[ 47.1771554085786 , -1.50150088505207]"
"785","verre","4.0",""," ","Rue de la Blandinière","Blandinière","440215","44120","Vertou","La Forêt","Loire, Sèvre et Vignoble","[ 47.1498975677907 , -1.45023779015991]"
"786","verre","4.0",""," ","Route de Nantes","Nantes","440215","44120","Vertou","Beautour","Loire, Sèvre et Vignoble","[ 47.1823863452454 , -1.5153081858626]"
"787","verre","4.0",""," ","Rue de la Cale","Cale","440215","44120","Vertou","Beautour","Loire, Sèvre et Vignoble","[ 47.180487125008 , -1.51165126563635]"
"788","verre","4.0",""," ","Rue de la Cale","Cale","440215","44120","Vertou","Beautour","Loire, Sèvre et Vignoble","[ 47.1804763564098 , -1.5116338437269]"
"789","verre","4.0",""," ","Rue Henri Sauvage","Sauvage","440215","44120","Vertou","Beautour","Loire, Sèvre et Vignoble","[ 47.1853736663879 , -1.51243538666893]"
"790","verre","4.0","Cuisine Nvl Hopital"," ","Allée Alphonse Fillion","Fillion","440215","44120","Vertou","Clouzeaux - Planty","Loire, Sèvre et Vignoble","[ 47.1788703458854 , -1.4935650461686]"
"791","verre","4.0",""," ","Rue de la Grand' Maison","Grand","440215","44120","Vertou","Beautour","Loire, Sèvre et Vignoble","[ 47.1820367072857 , -1.50739469918565]"
"792","verre","4.0",""," ","Place de la Poste","Poste","440215","44120","Vertou","Beautour","Loire, Sèvre et Vignoble","[ 47.1841641816664 , -1.50501981623408]"
"793","verre","4.0",""," ","Route du Mortier Vannerie","Mortier","440215","44120","Vertou","Beautour","Loire, Sèvre et Vignoble","[ 47.1858559262391 , -1.49605060074078]"
