gml_id,gid,num_col,type,vol_col,proj_exist,rue
mmm_pav_existants.1167,1167,V008,Verre,0,Existant,RUE JEAN VILLAR
mmm_pav_existants.1168,1168,V019,Verre,0,Existant,CHEMIN DE LA DRAYE DU MARBRE
mmm_pav_existants.1169,1169,V810,Verre,3,Existant,CHEMIN DE VENDARGUES A ST AUNES
mmm_pav_existants.1170,1170,V858,Verre,0,Existant,RUE PALLIADO
mmm_pav_existants.1171,1171,T,Textile,0,Existant,DECHETERIE
mmm_pav_existants.1172,1172,V589,Verre,0,Existant,ROUTE DE BEAULIEU
mmm_pav_existants.1173,1173,P343,Papier,0,Existant,AVENUE D'OCCITANIE
mmm_pav_existants.1174,1174,V855,Verre,0,Existant,RUE DES MICOCOULIERS
mmm_pav_existants.1175,1175,V155,Verre,0,Existant,D132
mmm_pav_existants.1176,1176,V299,Verre,3,Existant,RUE DES AZALEES
mmm_pav_existants.1177,1177,V624,Verre,0,Existant,AVENUE DE LIBRILLA
mmm_pav_existants.1178,1178,V161,Verre,0,Existant,RUE DE LA CROISETTE
mmm_pav_existants.1179,1179,V166,Verre,0,Existant,CHEMIN DE LA CHICANETTE
mmm_pav_existants.1180,1180,V212,Verre,0,Existant,RUE VIRGINIE MONTAGNOL
mmm_pav_existants.1181,1181,P054,Papier,3,Existant,RUE DE LA ROQUETURIERE
mmm_pav_existants.1182,1182,V382,Verre,0,Existant,RUE DES PASSSEREAUX
mmm_pav_existants.1183,1183,V595,Verre,0,Existant,AVENUE DE LA MEDITERRANEE
mmm_pav_existants.1184,1184,P381,Papier,0,Existant,RUE DES COUSSES
mmm_pav_existants.1185,1185,V575,Verre,0,Existant,RUE DE LA FRAISSAIE
mmm_pav_existants.1186,1186,V759,Verre,0,Existant,DOMAINE DE LA PROVIDENCE
mmm_pav_existants.1187,1187,V421,Verre,0,Existant,AVENUE DE PALAVAS
mmm_pav_existants.1188,1188,V427,Verre,0,Existant,IMPASSE MAS D'ARGELLIERS
mmm_pav_existants.1189,1189,V470,Verre,0,Existant,RUE DE CENTRAYRARGUES
mmm_pav_existants.1190,1190,V480,Verre,0,Existant,RUE MION SAINT MICHEL
mmm_pav_existants.1191,1191,V445,Verre,0,Existant,BOULEVARD PAUL VALERY
mmm_pav_existants.1192,1192,V135,Verre,0,Existant,RUE GEORGES MELIES
mmm_pav_existants.1193,1193,VRS020,Verre,3,Existant,RUE JEAN FRANCOIS BRETON
mmm_pav_existants.1194,1194,T,Textile,0,Existant,
mmm_pav_existants.1195,1195,T,Textile,0,Existant,RUE DU STADE
mmm_pav_existants.1196,1196,P063,Papier,0,Existant,ROUTE DE MENDE
mmm_pav_existants.1197,1197,P377,Papier,3,Existant,RUE DE VENDARGUES
