"nom";"categorie";"equipement";"statut";"lieu";"date";"annee";"lat";"lon";"image";"page"
"Ecole Le Linot primaire";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Nantes Erdre";"";"2012";"47.267761";"-1.527770";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-le-linot-primaire/"
"Ecole Le Linot maternelle";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Nantes Erdre";"";"2012";"47.267761";"-1.527770";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-le-linot-maternelle/"
"Ecole La Pierre Mara";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Indre";"";"2012";"47.195813";"-1.648512";"http://www.compostri.fr/wp-content/uploads/2015/01/pierre-mara-indre-150x150.jpg";"http://www.compostri.fr/compost/ecole-la-pierre-mara/"
"Ecole Jules Ferry";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Indre";"";"2012";"47.201383,";"-1.669023";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-jules-ferry/"
"Ecole Jacques Prévert";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Breil - Barberie";"";"2010";"47.228517";"-1.58368710000002";"http://www.compostri.fr/wp-content/uploads/2015/01/jacques-prévert-150x150.jpg";"http://www.compostri.fr/compost/ecole-jacques-prevert/"
"Ecole Henri Lesage";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Vertou";"";"2013";"47.1867428";"-1.5003326999999445";"http://www.compostri.fr/wp-content/uploads/2015/01/Ecole-Henri-Lesage-13-150x150.jpg";"http://www.compostri.fr/compost/ecole-elementaire-henri-lesage/"
"Ecole élémentaire Grand Carcouet";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Breil - Barberie";"";"2010";"47.2283069";"-1.59183280000002";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-elementaire-grand-carcouet/"
"Ecole élémentaire Georges Sand";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Nantes Nord";"";"2012";"47.259121";"-1.5683728";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-elementaire-georges-sand/"
"Ecole maternelle George Brassens";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Nantes Nord";"";"2013";"47.259121";"-1.5683728";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-maternelle-george-brassens/"
"Ecole élémentaire Gay Lussac";"Composteur Pédagogique en établissement scolaire";"Pavillon 1,5 m3";"En service";"Doulon - Bottière";"";"2011";"47.2276462";"-1.5208594";"http://www.compostri.fr/wp-content/uploads/2015/01/scene12_72dpi-150x150.jpg";"http://www.compostri.fr/compost/ecole-elementaire-gay-lussac/"
