nom,categorie,equipement,statut,quartier,date,lat,lon,image,page,,,,,
Val Joli,Composteur en résidence - copropriété,,,,,47.1978782,-1.5302229000000125,,http://www.compostri.fr/compost/val-joli/,,,,,
Saint Pierre,Composteur en résidence - copropriété,,,,,47.2177195,-1.5512671000000182,,http://www.compostri.fr/compost/saint-pierre/,,,,,
Russeil,Composteur en résidence - copropriété,,,,,47.2230538,-1.5623729999999796,,http://www.compostri.fr/compost/russeil/,,,,,
Port aux cerises,Composteur en résidence - copropriété,,,,,47.3113654,-1.5421773000000485,,http://www.compostri.fr/compost/port-aux-cerises/,,,,,
Résidence Pierre de Coubertin,Composteur en résidence - copropriété,,,,,47.2270428,-1.586035000000038,,http://www.compostri.fr/compost/residence-pierre-de-coubertin/,,,,,
Murillo/Les Excuriales,Composteur en résidence - copropriété,,,,,47.25805339999999,-1.5169750999999678,,http://www.compostri.fr/compost/murilloles-excuriales/,,,,,
Maison Radieuse,Composteur en résidence - copropriété,,,,,47.1890984,-1.5704894000000422,,http://www.compostri.fr/compost/maison-radieuse/,,,,,
Rue du Limousin _ Saint Sébastien sur Loire,Composteur en résidence - copropriété,,,,,47.2008957,-1.4904340000000502,,http://www.compostri.fr/compost/rue-du-limousin-_-saint-sebastien-sur-loire/,,,,,
Les Roses,Composteur en résidence - copropriété,,,,,47.2184147,-1.5760129000000234,,http://www.compostri.fr/compost/les-roses/,,,,,
Les Nouelles,Composteur en résidence - copropriété,,,,,47.19607800000001,-1.5227311999999529,,http://www.compostri.fr/compost/les-nouelles/,,,,,
Le Golf,Composteur en résidence - copropriété,,,,,47.2384984,-1.6044331000000511,,http://www.compostri.fr/compost/le-golf/,,,,,
La Robertière,Composteur en résidence - copropriété,,,,,47.2092388,-1.6474002999999584,,http://www.compostri.fr/compost/la-robertiere/,,,,,
La Reynière &#8211; Orvault,Composteur en résidence - copropriété,,,,,47.255664,-1.5792830000000322,,http://www.compostri.fr/compost/la-reyniere-orvault/,,,,,
La Martellière,Composteur en résidence - copropriété,,,,,47.1965613,-1.5293607999999494,,http://www.compostri.fr/compost/la-martelliere/,,,,,
La Closerie de l&rsquo;Arche,Composteur en résidence - copropriété,,,,,47.2082631,-1.5034264999999325,,http://www.compostri.fr/compost/la-closerie-de-larche/,,,,,
La Cailletière,Composteur en résidence - copropriété,,,,,47.2049763,-1.5202917000000298,,http://www.compostri.fr/compost/la-cailletiere/,,,,,
François Bruneau,Composteur en résidence - copropriété,,,,,47.2294584,-1.5612923999999566,,http://www.compostri.fr/compost/francois-bruneau/,,,,,
Domaine de Saint Sébastien,Composteur en résidence - copropriété,,,,,47.2062038,-1.515915199999995,,http://www.compostri.fr/compost/domaine-de-saint-sebastien/,,,,,
Duguesclin,Composteur en résidence - copropriété,,,,,47.195843,-1.5227848,,http://www.compostri.fr/compost/duguesclin/,,,,,
Coulmiers,Composteur en résidence - copropriété,,,,,47.2238039,-1.5382139,,http://www.compostri.fr/compost/bois-saint-louis-2/,,,,,
Bois Saint louis,Composteur en résidence - copropriété,,,,,47.2462956,-1.5791442,,http://www.compostri.fr/compost/bois-saint-louis/,,,,,
Beaulieu,Composteur en résidence - copropriété,,,,,47.2075803,-1.5419853,,http://www.compostri.fr/compost/beaulieu/,,,,,
Vallon de l&rsquo;Epinais &#8211; Grandchamp des Fontaines,Composteur ouvert au quartier,,,,,47.367328,-1.605229,,http://www.compostri.fr/compost/vallon-de-lepinais-grandchamp-des-fontaines/,,,,,
Sully,Composteur ouvert au quartier,,,,,47.2233177,-1.5496212000000469,,http://www.compostri.fr/compost/sully/,,,,,
Le Vore&rsquo;Koff &#8211; Composteur Ekovore à  Malakoff,Composteur ouvert au quartier,,,,,47.21587875284195,-1.5240184217691422,,http://www.compostri.fr/compost/composteur-malakoff/,,,,,
Hauts Pavés &#8211; Nantes,Composteur ouvert au quartier,,,,,47.22370328121724,-1.5659648180007935,,http://www.compostri.fr/compost/hauts-paves-nantes/,,,,,
Square Félix Thomas,Composteur ouvert au quartier,,,,,47.231795,-1.552381700000069,,http://www.compostri.fr/compost/square-felix-thomas/,,,,,
