"nom";"categorie";"equipement";"statut";"lieu";"date";"annee";"lat";"lon";"image";"page"
"Vieux Pin Sec";"Composteur sur des jardins collectifs";"Pavillon 1,5 m3";"En service";"Doulon - Bottière";"29-11-2017";"2017";"47.243253";"-1.521373";"http://www.compostri.fr/wp-includes/images/media/default.png";"http://www.compostri.fr/compost/vieux-pin-sec/"
"Les Perrières 2";"Composteur ouvert au quartier";"Silos 2x2.5m3";"En service";"La Chapelle-sur-Erdre";"18-11-2017";"2017";"47.309948";"-1.546675";"http://www.compostri.fr/wp-content/uploads/2018/01/Les-Perrieres-2-150x150.jpg";"http://www.compostri.fr/compost/les-perrieres-2/"
"Pirotterie";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Rezé";"19-10-2017";"2017";"47.167581";"-1.555285";"http://www.compostri.fr/wp-content/uploads/2018/01/Pirotterie-1-150x150.jpg";"http://www.compostri.fr/compost/pirotterie/"
"Résidence des Isles";"Composteur en résidence - copropriété";"Pavillon 1,5 m3";"En service";"Saint-Sébastien-sur-Loire";"09-12-2017";"2017";"47.210332";"-1.494847";"http://www.compostri.fr/wp-includes/images/media/default.png";"http://www.compostri.fr/compost/residence-des-isles/"
"Le Keraban";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Sautron";"17-11-2017";"2017";"47.261302";"-1.667825";"http://www.compostri.fr/wp-includes/images/media/default.png";"http://www.compostri.fr/compost/le-keraban/"
"Croix Jeannette";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Bouguenais";"18-11-2017";"2017";"47.172592";"-1.620849";"http://www.compostri.fr/wp-content/uploads/2017/12/20171109_175049-150x150.jpg";"http://www.compostri.fr/compost/croix-jeannette/"
"Chemin Poisson / ASL Armor";"Composteur ouvert au quartier";"Pavillon 1,5 m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"14-10-2017";"2017";"47.198847";"-1.591149";"http://www.compostri.fr/wp-content/uploads/2017/10/20171014_123053-150x150.jpg";"http://www.compostri.fr/compost/chemin-poisson-asl-armor/"
"Les Courtils";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Bellevue - Chantenay - Sainte-Anne";"29-09-2017";"2017";"47.200183";"-1.593530";"http://www.compostri.fr/wp-content/uploads/2017/10/Les-courtils-150x150.jpg";"http://www.compostri.fr/compost/les-courtils/"
"Anne de Bretagne";"Composteur en résidence - copropriété";"Silos 2x1m3";"En service";"Fay de Bretagne";"09-09-2017";"2017";"47.415671";" -1.789367";"http://www.compostri.fr/wp-content/uploads/2017/09/FAY-de-BRETAGNE-150x150.jpg";"http://www.compostri.fr/compost/anne-de-bretagne/"
"Les Halliers";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Nantes Sud";"07-09-2017";"2017";"47.187421";"-1.512435";"http://www.compostri.fr/wp-content/uploads/2017/09/Ouest-France-Composteur-12.09.2017-150x150.jpg";"http://www.compostri.fr/compost/les-halliers/"
"ComPOTsteur";"Composteur ouvert au quartier";"Silos 2x1m3";"En service";"Malakoff - Saint-Donatien";"01-07-2017";"2017";"47.2206864";"-1.5449958";"http://www.compostri.fr/wp-content/uploads/2017/08/ComPOTsteur-1-150x150.jpg";"http://www.compostri.fr/compost/compotsteur/"
